id,phase,repeat,S_mv,D_mv,E,D,I,V,S_real,E_real,BPM,mp3_path
227,3,6,1,2,1.0,0.528125,0.10031467013888888,0.00016599493868686525,0.49687499999999996,0.009284116132112094,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0227.mp3
228,2,7,1,1,0.0,0.48124999999999996,0.0783420138888889,0.0,0.5,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0228.mp3
229,3,3,2,1,1.0,0.396875,0.04562717013888889,0.00017536567686899905,0.44999999999999996,0.010801617685752487,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0229.mp3
230,1,0,2,1,0.0,0.32187499999999997,0.02392578125,0.0,0.3875,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0230.mp3
231,2,4,1,1,1.0,0.3125,0.02170138888888889,8.021863229664295e-05,0.446875,0.006068351422945481,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0231.mp3
232,3,2,2,2,0.5,0.43437499999999996,0.05908203125,6.578567440714956e-05,0.40937500000000004,0.006083265519244088,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0232.mp3
233,3,3,2,1,0.5,0.40625,0.048828125,4.2278341898306464e-05,0.515625,0.004950833123373845,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0233.mp3
234,3,6,2,2,0.0,0.48124999999999996,0.0783420138888889,0.0,0.4125,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0234.mp3
235,3,3,2,0,0.0,0.303125,0.019585503472222224,0.0,0.453125,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0235.mp3
236,2,2,1,1,0.5,0.35,0.03125,5.816185846086383e-05,0.47500000000000003,0.005107006806452732,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0236.mp3
237,2,6,1,1,0.0,0.40625,0.048828125,0.0,0.51875,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0237.mp3
238,3,2,0,0,0.5,0.284375,0.015679253472222224,5.24539112127382e-05,0.496875,0.00515515802811141,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0238.mp3
239,3,2,2,0,0.5,0.284375,0.015679253472222224,4.585347438455119e-05,0.421875,0.005078396395877356,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0239.mp3
240,2,3,1,1,0.5,0.33125,0.026258680555555552,4.1730470609339166e-05,0.475,0.004421246140770037,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0240.mp3
241,3,5,0,1,0.0,0.396875,0.04562717013888889,0.0,0.49687500000000007,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0241.mp3
242,3,6,1,2,0.5,0.49999999999999994,0.08680555555555557,5.7409992478315994e-05,0.553125,0.005580057755192366,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0242.mp3
243,3,1,0,0,0.0,0.303125,0.019585503472222224,0.0,0.44062500000000004,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0243.mp3
244,1,6,0,1,0.0,0.453125,0.06646050347222222,0.0,0.440625,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0244.mp3
245,3,6,0,2,0.0,0.584375,0.13026258680555555,0.0,0.484375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0245.mp3
246,3,7,1,2,0.0,0.49999999999999994,0.08680555555555557,0.0,0.59375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0246.mp3
247,3,3,1,0,1.0,0.21875,0.005425347222222221,0.00020656524567649642,0.47500000000000003,0.009957034504272877,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0247.mp3
248,3,1,2,2,0.5,0.490625,0.08251953125,4.562749788368396e-05,0.55,0.0048554743825835085,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0248.mp3
249,2,1,1,1,1.0,0.43437499999999996,0.05908203125,0.00017213427295044228,0.5187499999999999,0.009242732812132129,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0249.mp3
250,3,6,0,2,0.5,0.59375,0.13563368055555555,6.16908266333655e-05,0.49374999999999997,0.006293116430051995,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0250.mp3
251,1,6,2,1,0.0,0.34062499999999996,0.028700086805555556,0.0,0.4937500000000001,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0251.mp3
252,1,3,2,1,0.0,0.43437499999999996,0.05908203125,0.0,0.459375,0.0,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0252.mp3
253,3,3,1,1,1.0,0.396875,0.04562717013888889,0.00021159918800684258,0.409375,0.011765123435093222,90,/Users/viken/Desktop/Ingé Son/AudioLab/17_Projects/Mémoire_EMC/groove_experiment/data/mp3/stim_0253.mp3
